s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,non-canonical_tags,bts_tags,bts_tags_masked,title_masked,summary_masked,text_masked,tags_masked,summary_flagged,tags_flagged
https://golemlab.eu/graph/10435611,"My Cheating, Amnesic Fiancé","In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. To top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and Jungkook suffers amnesia, which only you seem to be able to handle. What will happen? Will you stay with him and help him through his predicament even though he loves someone else? Or should you simply let him go? Follow me on Twitter, @AW_Collins! Read original work from me on Wattpad, @Wrienne! Currently working on The Winter King !",2017-03-25,167244,Teen And Up Audiences,F/M,Completed,1755,jungkook,Amnesia | Angst | Arranged Marriage | Drama | Implied/Referenced Suicide | Past Child Abuse | Reader-Insert | References to Depression | Romance | Suicide Attempt,Jeon Jungkook/Reader Series: My Cheating Amnesic Fiancé Series [1],"['Amnesia', 'Angst', 'Arranged Marriage', 'Drama', 'Implied/Referenced Suicide', 'Past Child Abuse', 'Reader-Insert', 'References to Depression', 'Romance', 'Suicide Attempt']","['Amnesia', 'Angst', 'Arranged Marriage', 'Drama', 'Implied/Referenced Suicide', 'Past Child Abuse', 'Reader-Insert', 'References to Depression', 'Romance', 'Suicide Attempt']",[],[],[],"my cheating, amnesic fiancé","in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. to top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and [MEMBER] suffers amnesia, which only you seem to be able to handle. what will happen? will you stay with him and help him through his predicament even though he loves someone else? or should you simply let him go?","my cheating, amnesic fiancé [SEP] in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. though neither of you especially like each other, you never thought you would find yourself in a relationship with a cheater. to top that off, destiny decides to make an entrance (in the form of a hard hit to a pretty skull) and [MEMBER] suffers amnesia, which only you seem to be able to handle. what will happen? will you stay with him and help him through his predicament even though he loves someone else? or should you simply let him go?","amnesia, angst, arranged marriage, drama, implied/referenced suicide, past child abuse, reader-insert, references to depression, romance, suicide attempt",False,False
https://golemlab.eu/graph/9367868,Muse // Jungkook X Reader,Jeon Jungkook is a famous painter hiding his identity beneath a pseudonym. Anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. In a moment of weakness and awe he approaches you with one offer in mind. “Be my muse.”,2017-01-17,37367,Teen And Up Audiences,F/M,Completed,1572,jungkook,Complete | Fluff | Fluff and Angst | Painter!AU | Romance | Unresolved Romantic Tension,"Jeon Jungkook/Reader, Jeon Jungkook/You","['Complete', 'Fluff', 'Fluff and Angst', 'Painter!AU', 'Romance', 'Unresolved Romantic Tension']","['Complete', 'Fluff', 'Fluff and Angst', 'Romance', 'Unresolved Romantic Tension']",['Painter!AU'],[],['painter!au'],muse // [MEMBER] x reader,[MEMBER] is a famous painter hiding his identity beneath a pseudonym. anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. in a moment of weakness and awe he approaches you with one offer in mind. “be my muse.”,muse // [MEMBER] x reader [SEP] [MEMBER] is a famous painter hiding his identity beneath a pseudonym. anonymously wandering around his gallery opening he sees you appraising a piece of art that he hates – a piece inspired by his previous lover. in a moment of weakness and awe he approaches you with one offer in mind. “be my muse.”,"complete, fluff, fluff and angst, romance, unresolved romantic tension, painter!au",False,False
https://golemlab.eu/graph/25881670,A Sea of Indigo,"Pitbull Hybrid Jungkook has finally been freed from the fighting rings, and now finds himself at Marigold Sanctuary & Transition Estate, a place for healing and self-discovery for rescued hybrids. It's stupid, dumb, cheesy, and hell-bent on helping Jungkook ""heal"" and ""find himself"" and ""decide the course of his life."" And right at the center of it is Y/N, a nurse who's got everyone bamboozled that she's like some awesome person. She's not that great. Jungkook hates it here.",2020-08-13,240149,Explicit,F/M,Completed,1313,jungkook,BTS AU | Cat Hybrid Min Yoongi | Suga | Dog Hybrid Jeon Jungkook | Fighter Jeon Jungkook | Fox Hybrid Park Jimin (BTS) | Hurt/Comfort | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrids | Recovery | Slow Burn | Slow Romance | Tiger Hybrid Kim Taehyung | V | Wolf Hybrid Kim Namjoon | RM,Jeon Jungkook/Reader Series: The Indigo Collection [1],"['BTS AU', 'Cat Hybrid Min Yoongi', 'Suga', 'Dog Hybrid Jeon Jungkook', 'Fighter Jeon Jungkook', 'Fox Hybrid Park Jimin (BTS)', 'Hurt/Comfort', 'Hybrid Jeon Jungkook', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrids', 'Recovery', 'Slow Burn', 'Slow Romance', 'Tiger Hybrid Kim Taehyung', 'V', 'Wolf Hybrid Kim Namjoon', 'RM']","['Hurt/Comfort', 'Hybrids', 'Recovery', 'Slow Burn', 'Slow Romance']","['Cat Hybrid Min Yoongi', 'Suga', 'Hybrid Jung Hoseok', 'J-Hope', 'Tiger Hybrid Kim Taehyung', 'Wolf Hybrid Kim Namjoon']","['Dog Hybrid Jeon Jungkook', 'Fighter Jeon Jungkook', 'Fox Hybrid Park Jimin (BTS)', 'Hybrid Jeon Jungkook']","['dog hybrid [MEMBER]', 'fighter [MEMBER]', 'fox hybrid [MEMBER]', 'hybrid [MEMBER]', 'cat hybrid [MEMBER]', '[MEMBER]', 'hybrid [MEMBER]', '[MEMBER]', 'tiger hybrid [MEMBER]', 'wolf hybrid [MEMBER]']",a sea of indigo,"pitbull hybrid [MEMBER] has finally been freed from the fighting rings, and now finds himself at marigold sanctuary & transition estate, a place for healing and self-discovery for rescued hybrids. it's stupid, dumb, cheesy, and hell-bent on helping [MEMBER] ""heal"" and ""find himself"" and ""decide the course of his life."" and right at the center of it is You, a nurse who's got everyone bamboozled that she's like some awesome person. she's not that great. [MEMBER] hates it here.","a sea of indigo [SEP] pitbull hybrid [MEMBER] has finally been freed from the fighting rings, and now finds himself at marigold sanctuary & transition estate, a place for healing and self-discovery for rescued hybrids. it's stupid, dumb, cheesy, and hell-bent on helping [MEMBER] ""heal"" and ""find himself"" and ""decide the course of his life."" and right at the center of it is You, a nurse who's got everyone bamboozled that she's like some awesome person. she's not that great. [MEMBER] hates it here.","hurt/comfort, hybrids, recovery, slow burn, slow romance, dog hybrid [member], fighter [member], fox hybrid [member], hybrid [member], cat hybrid [member], [member], hybrid [member], [member], tiger hybrid [member], wolf hybrid [member]",False,False
https://golemlab.eu/graph/5753209,The Unwanted Alpha,"You curse the day you came of age and presented as an Alpha! A female Alpha is super rare, about 1% of the female population identify as Alpha and wasn’t it fan- fucking-tastic that you beat those odds.",2016-01-18,36229,Mature,F/M,In-Progress,1222,jungkook,Alpha/Beta/Omega Dynamics | Alternate Universe - Werewolf | Angst | Eventual Smut | Romance | Slice of Life,Jeon Jungkook/Reader,"['Alpha/Beta/Omega Dynamics', 'Alternate Universe - Werewolf', 'Angst', 'Eventual Smut', 'Romance', 'Slice of Life']","['Alpha/Beta/Omega Dynamics', 'Alternate Universe - Werewolf', 'Angst', 'Eventual Smut', 'Romance', 'Slice of Life']",[],[],[],the unwanted alpha,"you curse the day you came of age and presented as an alpha! a female alpha is super rare, about 1% of the female population identify as alpha and wasn’t it fan- fucking-tastic that you beat those odds.","the unwanted alpha [SEP] you curse the day you came of age and presented as an alpha! a female alpha is super rare, about 1% of the female population identify as alpha and wasn’t it fan- fucking-tastic that you beat those odds.","alpha/beta/omega dynamics, alternate universe - werewolf, angst, eventual smut, romance, slice of life",False,False
https://golemlab.eu/graph/7910962,Hiraeth,"The world has been ravaged by famine and disease, and the population has plummeted. You are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. Especially when you fall in love.",2016-08-31,12596,Explicit,F/M,Completed,1184,jungkook,Alternate Universe - Post-Apocalypse | FLU F F | Fluff | Light Angst | SO MUCH FLUFF | Sexual Content | Sexual Tension | Smut | alternative universe,Jeon Jungkook/Reader,"['Alternate Universe - Post-Apocalypse', 'FLU F F', 'Fluff', 'Light Angst', 'SO MUCH FLUFF', 'Sexual Content', 'Sexual Tension', 'Smut', 'alternative universe']","['Alternate Universe - Post-Apocalypse', 'Fluff', 'Light Angst', 'Sexual Content', 'Sexual Tension', 'Smut']",[],[],[],hiraeth,"the world has been ravaged by famine and disease, and the population has plummeted. you are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. especially when you fall in love.","hiraeth [SEP] the world has been ravaged by famine and disease, and the population has plummeted. you are assigned a breeding partner, but mindlessly repopulating the planet is more difficult than it seems. especially when you fall in love.","alternate universe - post-apocalypse, fluff, light angst, sexual content, sexual tension, smut",False,False
https://golemlab.eu/graph/30222195,Mutual Help,"In order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help",2021-03-23,387752,Mature,F/M,In-Progress,1099,jungkook,Anal Play | Angst | Cross-Posted on Wattpad | Deepthroating | Explicit Language | Fake/Pretend Relationship | Fluff | Friends to Lovers | Implied/Referenced Cheating | Oral Sex | Rough Sex | Semi-Public Sex | Sex Toys | Slow Burn | Smut | Spanking | Vaginal Sex,"Jeon Jungkook/Reader, Jeon Jungkook/You","['Anal Play', 'Angst', 'Cross-Posted on Wattpad', 'Deepthroating', 'Explicit Language', 'Fake/Pretend Relationship', 'Fluff', 'Friends to Lovers', 'Implied/Referenced Cheating', 'Oral Sex', 'Rough Sex', 'Semi-Public Sex', 'Sex Toys', 'Slow Burn', 'Smut', 'Spanking', 'Vaginal Sex']","['Anal Play', 'Angst', 'Cross-Posted on Wattpad', 'Deepthroating', 'Explicit Language', 'Fake/Pretend Relationship', 'Fluff', 'Friends to Lovers', 'Implied/Referenced Cheating', 'Oral Sex', 'Rough Sex', 'Semi-Public Sex', 'Sex Toys', 'Slow Burn', 'Smut', 'Spanking', 'Vaginal Sex']",[],[],[],mutual help,"in order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help","mutual help [SEP] in order for you to pretend to be his girlfriend, he helps you with your sexual desires - he calls it a mutual help","anal play, angst, cross-posted on wattpad, deepthroating, explicit language, fake/pretend relationship, fluff, friends to lovers, implied/referenced cheating, oral sex, rough sex, semi-public sex, sex toys, slow burn, smut, spanking, vaginal sex",False,False
https://golemlab.eu/graph/6857905,Pancakes?,"“You slept with my roommate who is notorious for one night stands, and now I’m meant to tell you that the reason you woke up alone is because she had to get to an early class. I should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but I never do that so hi, sorry my roommates a jackass. Pancakes?” - Rewritten as of 10/26/20 because ~growth~",2020-10-26,1309,General Audiences,F/M,Completed,1098,jungkook,Alternate Universe - College/University | But still not quite as fluffy as reader's pancakes | Fluff | Jungkook-centric | Reader-Insert | literally nothing but the fluffiest of fluff | no beta we die like men | reader - Freeform | those shits be top tier | y/n not used,Jeon Jungkook/Reader,"['Alternate Universe - College/University', ""But still not quite as fluffy as reader's pancakes"", 'Fluff', 'Jungkook-centric', 'Reader-Insert', 'literally nothing but the fluffiest of fluff', 'no beta we die like men', 'reader - Freeform', 'those shits be top tier', 'y/n not used']","['Alternate Universe - College/University', 'Fluff', 'Reader-Insert']",[],[],[],pancakes?,"“you slept with my roommate who is notorious for one night stands, and now i’m meant to tell you that the reason you woke up alone is because she had to get to an early class. i should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but i never do that so hi, sorry my roommates a jackass. pancakes?”","pancakes? [SEP] “you slept with my roommate who is notorious for one night stands, and now i’m meant to tell you that the reason you woke up alone is because she had to get to an early class. i should then proceed to get your phone number and tell you that she’ll call in a few days before binning it as soon as you leave, but i never do that so hi, sorry my roommates a jackass. pancakes?”","alternate universe - college/university, fluff, reader-insert",False,False
https://golemlab.eu/graph/15333759,Maintenance,"Jeon Jungkook is a bunny hybrid . He's lovable. He's cute. However, he's very,very,very, high maintenance.  Being a bunny he has heats left and right . His chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . Enter you, a lonely business woman. You're pretty well off and just crave companionship. Dating has just blundered your morale as a single woman. It doesn't have to be sexual , nor romantic. Just someone to come home to would be nice. However it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.",2018-07-18,25073,Mature,F/M,Completed,954,jungkook,Bts/reader - Freeform | Bunny Hybrid Jungkook | Heat Sex | Hybrid bts | Smut | Some angst | hybrid sex | jeon jungkook - Freeform | jungkook - Freeform,Jeon Jungkook/Reader,"['Bts/reader - Freeform', 'Bunny Hybrid Jungkook', 'Heat Sex', 'Hybrid bts', 'Smut', 'Some angst', 'hybrid sex', 'jeon jungkook - Freeform', 'jungkook - Freeform']",['Smut'],"['Bunny Hybrid Jungkook', 'Heat Sex']",[],"['bunny hybrid [MEMBER]', 'heat sex']",maintenance,"[MEMBER] is a bunny hybrid . he's lovable. he's cute. however, he's very,very,very, high maintenance.  being a bunny he has heats left and right . his chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . enter you, a lonely business woman. you're pretty well off and just crave companionship. dating has just blundered your morale as a single woman. it doesn't have to be sexual , nor romantic. just someone to come home to would be nice. however it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.","maintenance [SEP] [MEMBER] is a bunny hybrid . he's lovable. he's cute. however, he's very,very,very, high maintenance.  being a bunny he has heats left and right . his chances of adoption are low compared to cat and dog hybrids due to how high maintenance he is . enter you, a lonely business woman. you're pretty well off and just crave companionship. dating has just blundered your morale as a single woman. it doesn't have to be sexual , nor romantic. just someone to come home to would be nice. however it isn't till you take this bunny hybrid home, that you see just how much maintenance he really is.","smut, bunny hybrid [member], heat sex",False,False
https://golemlab.eu/graph/13801209,My Cheating Amnesic Fiancé 2,"In which you (reader) and Jeon Jungkook are engaged due to an arrangement made by both of your parents. Or well, used to be. After finally resolving Jungkook's amnesia and your complicated relationship, one would think that everything was fine. But destiny isn't done messing with your life yet. Due to an incident where you confronted Jungkook's brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. But in order to do that, you cannot tell him about you and Jungkook. Additionally, Jungkook isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. Furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. Will your relationship with Jungkook make it through all the hurdles and hindrances that destiny sets before you? Or are you two really not meant to be? A continuation of My Cheating Amnesic Fiancé. Follow me on Twitter, @AW_Collins!",2018-02-25,122077,Teen And Up Audiences,F/M,Completed,869,jungkook,Angst | Arranged Marriage | Attempted Rape/Non-Con | Drama | Implied/Referenced Suicide | Past Child Abuse | Reader-Insert | References to Depression | Romance,Jeon Jungkook/Reader Series: My Cheating Amnesic Fiancé Series [2],"['Angst', 'Arranged Marriage', 'Attempted Rape/Non-Con', 'Drama', 'Implied/Referenced Suicide', 'Past Child Abuse', 'Reader-Insert', 'References to Depression', 'Romance']","['Angst', 'Arranged Marriage', 'Attempted Rape/Non-Con', 'Drama', 'Implied/Referenced Suicide', 'Past Child Abuse', 'Reader-Insert', 'References to Depression', 'Romance']",[],[],[],my cheating amnesic fiancé 2,"in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. or well, used to be. after finally resolving [MEMBER]'s amnesia and your complicated relationship, one would think that everything was fine. but destiny isn't done messing with your life yet. due to an incident where you confronted [MEMBER]'s brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. but in order to do that, you cannot tell him about you and [MEMBER]. additionally, [MEMBER] isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. will your relationship with [MEMBER] make it through all the hurdles and hindrances that destiny sets before you? or are you two really not meant to be? a continuation of my cheating amnesic fiancé.","my cheating amnesic fiancé 2 [SEP] in which you (reader) and [MEMBER] are engaged due to an arrangement made by both of your parents. or well, used to be. after finally resolving [MEMBER]'s amnesia and your complicated relationship, one would think that everything was fine. but destiny isn't done messing with your life yet. due to an incident where you confronted [MEMBER]'s brother and your current fiancé about some lies that he had made, you found out about a horrible part of his life that you now feel obligated to help him with. but in order to do that, you cannot tell him about you and [MEMBER]. additionally, [MEMBER] isn't done keeping secrets away from you - secrets that might destroy your already uncertain relationship permanently. furthermore, your father's weak health is a constant worry on your mind, and as news outlets dig out more about your late grandfather's company's involvement with the former president, nothing in your already chaotic life will be stable for a long time. will your relationship with [MEMBER] make it through all the hurdles and hindrances that destiny sets before you? or are you two really not meant to be? a continuation of my cheating amnesic fiancé.","angst, arranged marriage, attempted rape/non-con, drama, implied/referenced suicide, past child abuse, reader-insert, references to depression, romance",False,False
https://golemlab.eu/graph/25142842,Kalokagathia | JJK ✔,"Kalokagathia (n.) - the good and beautiful in a person. A bunny hybrid Jungkook x reader AU. Started: June 1, 2020 Completed: January 11, 2021 Also published on Wattpad.",2020-07-08,111942,Mature,F/M,Completed,854,jungkook,BTS AU | Bts army - Freeform | Bunny Hybrid Jeon Jungkook | Cat Hybrid Min Yoongi | Suga | Doctor Kim Seokjin | Jin | Doctor Reader - Freeform | Dog Hybrid Jung Hoseok | J-Hope | Dog Hybrid Kim Taehyung | V | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Namjoon | RM | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrids | Police Officer Park Jimin (BTS) | Wolf Hybrid Kim Namjoon | RM | bts - Freeform | bunny hybrid | cat hybrid | dog hybrid | jeon jungkook - Freeform,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Kim Taehyung | V/Park Jimin, Kim Namjoon | RM/Kim Seokjin | Jin/Min Yoongi | Suga Series: Kalokagathia Universe [1]","['BTS AU', 'Bts army - Freeform', 'Bunny Hybrid Jeon Jungkook', 'Cat Hybrid Min Yoongi', 'Suga', 'Doctor Kim Seokjin', 'Jin', 'Doctor Reader - Freeform', 'Dog Hybrid Jung Hoseok', 'J-Hope', 'Dog Hybrid Kim Taehyung', 'V', 'Hybrid Jeon Jungkook', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrid Kim Namjoon', 'RM', 'Hybrid Kim Taehyung', 'V', 'Hybrid Min Yoongi', 'Suga', 'Hybrids', 'Police Officer Park Jimin (BTS)', 'Wolf Hybrid Kim Namjoon', 'RM', 'bts - Freeform', 'bunny hybrid', 'cat hybrid', 'dog hybrid', 'jeon jungkook - Freeform']",['Hybrids'],"['Cat Hybrid Min Yoongi', 'Suga', 'Doctor Kim Seokjin', 'Jin', 'Doctor Reader - Freeform', 'Dog Hybrid Jung Hoseok', 'J-Hope', 'Dog Hybrid Kim Taehyung', 'Hybrid Jung Hoseok', 'J-Hope', 'Hybrid Kim Namjoon', 'Hybrid Kim Taehyung', 'Hybrid Min Yoongi', 'Suga', 'Wolf Hybrid Kim Namjoon']","['Bunny Hybrid Jeon Jungkook', 'Hybrid Jeon Jungkook', 'Police Officer Park Jimin (BTS)']","['bunny hybrid [MEMBER]', 'hybrid [MEMBER]', 'police officer [MEMBER]', 'cat hybrid [MEMBER]', '[MEMBER]', 'doctor [MEMBER]', '[MEMBER]', 'doctor reader - freeform', 'dog hybrid [MEMBER]', '[MEMBER]', 'dog hybrid [MEMBER]', 'hybrid [MEMBER]', '[MEMBER]', 'hybrid [MEMBER]', 'hybrid [MEMBER]', 'hybrid [MEMBER]', '[MEMBER]', 'wolf hybrid [MEMBER]']",kalokagathia | [MEMBER] ✔,kalokagathia (n.) - the good and beautiful in a person. a bunny hybrid [MEMBER] x reader au.,kalokagathia | [MEMBER] ✔ [SEP] kalokagathia (n.) - the good and beautiful in a person. a bunny hybrid [MEMBER] x reader au.,"hybrids, bunny hybrid [member], hybrid [member], police officer [member], cat hybrid [member], [member], doctor [member], [member], doctor reader - freeform, dog hybrid [member], [member], dog hybrid [member], hybrid [member], [member], hybrid [member], hybrid [member], hybrid [member], [member], wolf hybrid [member]",False,False
