s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,noncanonical_tags,filtered_noncanonical_tags,bts_tags
https://golemlab.eu/graph/11852538,Close to Normal,"Kim Taehyung finds himself staying in a hotel alone without the other members. There, he is drawn to a troubled girl who reminds him that he is just a man.",2017-08-20,73944,Mature,F/M,Completed,1045,taehyung,Adorable Kim Taehyung | V | Angst | Canon Compliant | Eventual Smut | Falling In Love | Fame | Fluff | Googles how to tag | Help | I Blame Tumblr | Idol Kim Taehyung | V | Implied Sexual Content | Kim Taehyung | V & Park Jimin are Best Friends | Kim Taehyung | V is a Sweetheart | Language Barrier | My First AO3 Post | My First Fanfic | Other Additional Tags to Be Added | Park Jimin Is a Sweetheart | Sexual Tension | Some humour if you squint,Kim Taehyung | V/Reader Series: Close to Normal [1],"['Adorable Kim Taehyung', 'V', 'Angst', 'Canon Compliant', 'Eventual Smut', 'Falling In Love', 'Fame', 'Fluff', 'Googles how to tag', 'Help', 'I Blame Tumblr', 'Idol Kim Taehyung', 'V', 'Implied Sexual Content', 'Kim Taehyung', 'V & Park Jimin are Best Friends', 'Kim Taehyung', 'V is a Sweetheart', 'Language Barrier', 'My First AO3 Post', 'My First Fanfic', 'Other Additional Tags to Be Added', 'Park Jimin Is a Sweetheart', 'Sexual Tension', 'Some humour if you squint']","['Angst', 'Canon Compliant', 'Eventual Smut', 'Falling In Love', 'Fame', 'Fluff', 'Help', 'I Blame Tumblr', 'Implied Sexual Content', 'Language Barrier', 'My First AO3 Post', 'My First Fanfic', 'Other Additional Tags to Be Added', 'Sexual Tension']","['Adorable Kim Taehyung', 'V', 'Googles how to tag', 'Idol Kim Taehyung', 'V', 'Kim Taehyung', 'V & Park Jimin are Best Friends', 'Kim Taehyung', 'V is a Sweetheart', 'Park Jimin Is a Sweetheart', 'Some humour if you squint']","['Adorable Kim Taehyung', 'Idol Kim Taehyung', 'Kim Taehyung', 'Kim Taehyung']",[]
https://golemlab.eu/graph/29358348,Too Good To Be True,"Kim Taehyung is a world famous idol in the hit K-pop group, BTS, and you are his personal stylist. Per your contract with Big Hit, he is absolutely, 100% off-limits, and yet, you are completely and hopelessly in love with him. You’ve spent years trying to shove your feelings down, but it’s getting harder and harder to ignore and hide them, especially considering the way Tae always treats you. He’s affectionate and protective and sometimes outright flirtatious, but that’s how he is with everyone, right? Confused, frustrated, and lovesick, you find yourself wondering if it might finally be worth risking your career and your heart to find out.",2021-02-11,182705,Mature,F/M,In-Progress,1031,taehyung,Adorable Kim Taehyung | V | Angst | Angst with a Happy Ending | Big Hit Entertainment | Depression | Dom Kim Taehyung | V | Eventual Smut | Flirting | Fluff | Fluff and Angst | Friends to Lovers | Happy Ending | Kim Taehyung | V is Bad at Feelings | Kim Taehyung | V is a Tease | Kim Taehyung | V-centric | Kissing | Mutual Pining | Romance | Sex | Slow Burn | Smut | Sweet Kim Taehyung | V,"Kim Taehyung | V/Reader, Kim Taehyung | V/You","['Adorable Kim Taehyung', 'V', 'Angst', 'Angst with a Happy Ending', 'Big Hit Entertainment', 'Depression', 'Dom Kim Taehyung', 'V', 'Eventual Smut', 'Flirting', 'Fluff', 'Fluff and Angst', 'Friends to Lovers', 'Happy Ending', 'Kim Taehyung', 'V is Bad at Feelings', 'Kim Taehyung', 'V is a Tease', 'Kim Taehyung', 'V-centric', 'Kissing', 'Mutual Pining', 'Romance', 'Sex', 'Slow Burn', 'Smut', 'Sweet Kim Taehyung', 'V']","['Angst', 'Angst with a Happy Ending', 'Big Hit Entertainment', 'Depression', 'Eventual Smut', 'Flirting', 'Fluff', 'Fluff and Angst', 'Friends to Lovers', 'Happy Ending', 'Kissing', 'Mutual Pining', 'Romance', 'Sex', 'Slow Burn', 'Smut']","['Adorable Kim Taehyung', 'V', 'Dom Kim Taehyung', 'V', 'Kim Taehyung', 'V is Bad at Feelings', 'Kim Taehyung', 'V is a Tease', 'Kim Taehyung', 'V-centric', 'Sweet Kim Taehyung', 'V']","['Adorable Kim Taehyung', 'Dom Kim Taehyung', 'Kim Taehyung', 'Kim Taehyung', 'Kim Taehyung', 'Sweet Kim Taehyung']",[]
https://golemlab.eu/graph/10745400,Please Let Me,"Your past relationships have made you cold, and your friend Taehyung wants to help make you warm again.",2017-04-27,23927,Explicit,F/M,Completed,896,taehyung,Alcohol | Angst | Angst and Fluff and Smut | Best Friends | Body Worship | Cheating | Cunnilingus | Dirty Talk | Drunk Sex | Drunkenness | Fluff | Fluff and Angst | Fluff and Smut | Jealousy | Kim Taehyung | V is a Sweetheart | Kim Taehyung | V-centric | Male-Female Friendship | Multiple Orgasms | Oral Sex | Penis In Vagina Sex | Porn With Plot | Porn with Feelings | Reader-Insert | Reader-Interactive | Riding | Smut | Vaginal Sex,Kim Taehyung | V/Reader,"['Alcohol', 'Angst', 'Angst and Fluff and Smut', 'Best Friends', 'Body Worship', 'Cheating', 'Cunnilingus', 'Dirty Talk', 'Drunk Sex', 'Drunkenness', 'Fluff', 'Fluff and Angst', 'Fluff and Smut', 'Jealousy', 'Kim Taehyung', 'V is a Sweetheart', 'Kim Taehyung', 'V-centric', 'Male-Female Friendship', 'Multiple Orgasms', 'Oral Sex', 'Penis In Vagina Sex', 'Porn With Plot', 'Porn with Feelings', 'Reader-Insert', 'Reader-Interactive', 'Riding', 'Smut', 'Vaginal Sex']","['Alcohol', 'Angst', 'Angst and Fluff and Smut', 'Best Friends', 'Body Worship', 'Cheating', 'Cunnilingus', 'Dirty Talk', 'Drunk Sex', 'Drunkenness', 'Fluff', 'Fluff and Angst', 'Fluff and Smut', 'Jealousy', 'Male-Female Friendship', 'Multiple Orgasms', 'Oral Sex', 'Penis In Vagina Sex', 'Porn With Plot', 'Porn with Feelings', 'Reader-Insert', 'Reader-Interactive', 'Riding', 'Smut', 'Vaginal Sex']","['Kim Taehyung', 'V is a Sweetheart', 'Kim Taehyung', 'V-centric']","['Kim Taehyung', 'Kim Taehyung']",[]
https://golemlab.eu/graph/11997834,one good purr (deserves another),"Maybe it wasn't the best idea to visit Taehyung just before your heat. [Shifter au / fox!Taehyung, cat!Reader]",2017-09-04,31148,Mature,F/M,Completed,715,taehyung,Alternate Universe | Fluff and Smut | Hybrids | Shifters,Kim Taehyung | V/Reader,"['Alternate Universe', 'Fluff and Smut', 'Hybrids', 'Shifters']","['Alternate Universe', 'Fluff and Smut', 'Hybrids']",['Shifters'],['Shifters'],[]
https://golemlab.eu/graph/23259202,Snapped (Yandere Taehyung x Reader),"Your relationship with your boyfriend hasn't been going well lately. His twin, Kim Taehyung, decides to take advantage of this.",2020-03-22,21811,Explicit,F/M,In-Progress,686,taehyung,Abortion mention | Daddy Kink | Dom Kim Taehyung | V | Dom/sub | Drunk Sex | Emotional Infidelity | Emotional Manipulation | Established Relationship | Infidelity | Love Triangles | Missionary Position | Non-Consensual Oral Sex | Non-Consensual Spanking | Obsession | Obsessive Behavior | Oral Sex | Photography | Reader-Insert | Smut | Somnophilia | Spanking | Stalker Taehyung | Stalking | Taehyung smut | Twins | Victim Blaming | Woman on Top | Yandere | Yandere BTS | Yandere Bangtan Boys | Yandere Bangtan Boys | BTS | Yandere Smut | bts smut | kim taehyung smut | kpopyandere | obsessive taehyung | pregnancy mention | unhealthy relationship | yn has low self-esteem,Kim Taehyung | V/Reader,"['Abortion mention', 'Daddy Kink', 'Dom Kim Taehyung', 'V', 'Dom/sub', 'Drunk Sex', 'Emotional Infidelity', 'Emotional Manipulation', 'Established Relationship', 'Infidelity', 'Love Triangles', 'Missionary Position', 'Non-Consensual Oral Sex', 'Non-Consensual Spanking', 'Obsession', 'Obsessive Behavior', 'Oral Sex', 'Photography', 'Reader-Insert', 'Smut', 'Somnophilia', 'Spanking', 'Stalker Taehyung', 'Stalking', 'Taehyung smut', 'Twins', 'Victim Blaming', 'Woman on Top', 'Yandere', 'Yandere BTS', 'Yandere Bangtan Boys', 'Yandere Bangtan Boys', 'BTS', 'Yandere Smut', 'bts smut', 'kim taehyung smut', 'kpopyandere', 'obsessive taehyung', 'pregnancy mention', 'unhealthy relationship', 'yn has low self-esteem']","['Daddy Kink', 'Dom/sub', 'Drunk Sex', 'Emotional Infidelity', 'Emotional Manipulation', 'Established Relationship', 'Infidelity', 'Love Triangles', 'Missionary Position', 'Non-Consensual Oral Sex', 'Non-Consensual Spanking', 'Obsession', 'Obsessive Behavior', 'Oral Sex', 'Photography', 'Reader-Insert', 'Smut', 'Somnophilia', 'Spanking', 'Stalking', 'Twins', 'Victim Blaming', 'Woman on Top', 'Yandere']","['Abortion mention', 'Dom Kim Taehyung', 'V', 'Stalker Taehyung', 'Taehyung smut', 'Yandere BTS', 'Yandere Bangtan Boys', 'Yandere Bangtan Boys', 'BTS', 'Yandere Smut', 'bts smut', 'kim taehyung smut', 'kpopyandere', 'obsessive taehyung', 'pregnancy mention', 'unhealthy relationship', 'yn has low self-esteem']","['Dom Kim Taehyung', 'Stalker Taehyung', 'Yandere BTS', 'Yandere Bangtan Boys', 'Yandere Bangtan Boys', 'Yandere Smut']",[]
https://golemlab.eu/graph/7869967,Candyman,"Taehyung owns a candy store, and is not very shy when it comes to pretty girls as his customers.",2016-08-25,10076,Mature,F/M,Completed,594,taehyung,Alternate Universe - Candy Shop | Fluff | Sexual Content | Sexual Tension | Smut,Kim Taehyung | V/Reader,"['Alternate Universe - Candy Shop', 'Fluff', 'Sexual Content', 'Sexual Tension', 'Smut']","['Alternate Universe - Candy Shop', 'Fluff', 'Sexual Content', 'Sexual Tension', 'Smut']",[],[],[]
https://golemlab.eu/graph/17378081,A Natural,"You’re a single mom, and your son is your entire world. When you take him to get his first hybrid, his choice is pretty bewildering, until you realize that he was picking out a dad.",2019-01-11,29372,Teen And Up Audiences,F/M,Completed,569,taehyung,Cross-Posted on Tumblr | Dog Hybrid Kim Taehyung | V | Hybrid Kim Taehyung | V | Hybrids | Kim Taehyung | V is a Sweetheart | Mentioned Jung Hoseok | J-Hope | Single Mom story,Kim Taehyung | V/Reader,"['Cross-Posted on Tumblr', 'Dog Hybrid Kim Taehyung', 'V', 'Hybrid Kim Taehyung', 'V', 'Hybrids', 'Kim Taehyung', 'V is a Sweetheart', 'Mentioned Jung Hoseok', 'J-Hope', 'Single Mom story']","['Cross-Posted on Tumblr', 'Hybrids']","['Dog Hybrid Kim Taehyung', 'V', 'Hybrid Kim Taehyung', 'V', 'Kim Taehyung', 'V is a Sweetheart', 'Mentioned Jung Hoseok', 'J-Hope', 'Single Mom story']","['Dog Hybrid Kim Taehyung', 'Hybrid Kim Taehyung', 'Kim Taehyung', 'Mentioned Jung Hoseok', 'J-Hope']",[]
https://golemlab.eu/graph/18066299,Singularity,"You and your friend were sure you will get tickets to see BTS in this summer in London. However, things didn’t work out quite how you’ve imagined it. ~ Or rather a story about how the guys stumbled into your life and unimaginable twists and turns follow. Bear with me, first timer here.",2019-03-10,424890,Teen And Up Audiences,F/M,In-Progress,556,taehyung,BTS live | Budapest | Canon Compliant | Comedy | Concerts | Dancing | Eventual Smut | Fluff | Fluff and Smut | Fluffy Smut | Hong Kong | Idol Life | Idols | London | Mentions of verbal abuse | Paris (City) | Realistic | Romance | Seoul | Sexual Tension | Slow Build | Some angst | Tagging stresses me | TxT Shows up later | angst has entered the chat | live performance,Kim Taehyung | V/Reader,"['BTS live', 'Budapest', 'Canon Compliant', 'Comedy', 'Concerts', 'Dancing', 'Eventual Smut', 'Fluff', 'Fluff and Smut', 'Fluffy Smut', 'Hong Kong', 'Idol Life', 'Idols', 'London', 'Mentions of verbal abuse', 'Paris (City)', 'Realistic', 'Romance', 'Seoul', 'Sexual Tension', 'Slow Build', 'Some angst', 'Tagging stresses me', 'TxT Shows up later', 'angst has entered the chat', 'live performance']","['Budapest', 'Canon Compliant', 'Comedy', 'Concerts', 'Dancing', 'Eventual Smut', 'Fluff', 'Fluff and Smut', 'Hong Kong', 'Idols', 'London', 'Paris (City)', 'Realistic', 'Romance', 'Sexual Tension', 'Slow Build']","['BTS live', 'Fluffy Smut', 'Idol Life', 'Mentions of verbal abuse', 'Seoul', 'Some angst', 'Tagging stresses me', 'TxT Shows up later', 'angst has entered the chat', 'live performance']","['Fluffy Smut', 'Idol Life', 'Seoul']",[]
https://golemlab.eu/graph/18811945,Plunge,"Little do you know, white furry ears twitch in your direction, hearing you cry out a few rooms down the cabin hallway, his blood running cold, thinking you - his chosen mate - was hurt, or something much worse. He races to the bathroom with a speed gifted from his hybrid genes.",2019-05-13,8431,Mature,F/M,Completed,545,taehyung,Begging | Biting | Cunnilingus | Deadly Predator Hybrid Series | Dirty Talk | Fingering | Fluff and Smut | Hybrid - Freeform | Hybrid Kim Taehyung | Hybrid Taehyung | Hybrid V | Orgasms | Smut | Spanking | Taehyung smut | V smut | hybrid tae | polar bear hybrid | polar bear taehyung | predator hybrid series | pussy slapping | slight angst | spitting | tae smut | taehyung - Freeform | talk of breeding,"Kim Taehyung | V/Reader, Tae X Reader - Relationship, Taehyung x Reader, V x Reader Series: Deadly Predator Hybrid Series [8]","['Begging', 'Biting', 'Cunnilingus', 'Deadly Predator Hybrid Series', 'Dirty Talk', 'Fingering', 'Fluff and Smut', 'Hybrid - Freeform', 'Hybrid Kim Taehyung', 'Hybrid Taehyung', 'Hybrid V', 'Orgasms', 'Smut', 'Spanking', 'Taehyung smut', 'V smut', 'hybrid tae', 'polar bear hybrid', 'polar bear taehyung', 'predator hybrid series', 'pussy slapping', 'slight angst', 'spitting', 'tae smut', 'taehyung - Freeform', 'talk of breeding']","['Begging', 'Biting', 'Cunnilingus', 'Dirty Talk', 'Fluff and Smut', 'Smut', 'Spanking']","['Deadly Predator Hybrid Series', 'Fingering', 'Hybrid - Freeform', 'Hybrid Kim Taehyung', 'Hybrid Taehyung', 'Hybrid V', 'Orgasms', 'Taehyung smut', 'V smut', 'hybrid tae', 'polar bear hybrid', 'polar bear taehyung', 'predator hybrid series', 'pussy slapping', 'slight angst', 'spitting', 'tae smut', 'taehyung - Freeform', 'talk of breeding']","['Deadly Predator Hybrid Series', 'Fingering', 'Hybrid - Freeform', 'Hybrid Kim Taehyung', 'Hybrid Taehyung', 'Hybrid V', 'Orgasms']",[]
https://golemlab.eu/graph/15196280,4 o'clock,"↼prompt: “Why are you crying, It’s only you and me here, Me and you, Oh you” Even if it weren’t for the two twins that had endeared you so, you were sure you would have eventually been drawn to the beautiful soul of Kim Taehyung, like a planet to its star.",2018-07-07,21924,Teen And Up Audiences,F/M,In-Progress,527,taehyung,Alternate Universe - Coffee Shops & Cafés | Alternate Universe - Hybrids | Fluff | Hybrid AU | Hybrids | Light Angst | Lion Hybrid Kim Taehyung | V | Single Dad AU | Single Dad Kim Taehyung | V | Single Parent Kim Taehyung | V | Single Parents | Taehyung has twins and I would die for them | ugh im weeping,Kim Taehyung | V/Reader,"['Alternate Universe - Coffee Shops & Cafés', 'Alternate Universe - Hybrids', 'Fluff', 'Hybrid AU', 'Hybrids', 'Light Angst', 'Lion Hybrid Kim Taehyung', 'V', 'Single Dad AU', 'Single Dad Kim Taehyung', 'V', 'Single Parent Kim Taehyung', 'V', 'Single Parents', 'Taehyung has twins and I would die for them', 'ugh im weeping']","['Fluff', 'Hybrids', 'Light Angst', 'Single Parents']","['Alternate Universe - Coffee Shops & Cafés', 'Alternate Universe - Hybrids', 'Hybrid AU', 'Lion Hybrid Kim Taehyung', 'V', 'Single Dad AU', 'Single Dad Kim Taehyung', 'V', 'Single Parent Kim Taehyung', 'V', 'Taehyung has twins and I would die for them', 'ugh im weeping']","['Alternate Universe - Hybrids', 'Hybrid AU', 'Lion Hybrid Kim Taehyung', 'Single Dad AU', 'Single Dad Kim Taehyung', 'Single Parent Kim Taehyung']",[]
