s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,polyship_human_flag,member,members_found,combined_text,ner_persons,title_masked,summary_masked,text_raw,text_masked
https://golemlab.eu/graph/10952706,2060,Don't talk to the neighbours,"BTS are forced to relocate where they live as fans find out their old address, so a rule is set for their next home, so that their location can keep a secret- ""Don't talk to the neighbours"" Luckily (or unluckily) the next door neighbour is cute, and she cant talk. So... Min Yoongi isn't necessarily breaking the rules. _ Lowkey soulmate au",2017-05-20,48348,Not Rated,F/M,Completed,Angst | Deaf Character | Disability | Fluff and Angst | Muteness | Neighbors | Reader-Insert | Soulmates | bts neighbors | bts neighbours | deaf character bts,Min Yoongi | Suga/Reader,False,yoongi,{'yoongi'},"Don't talk to the neighbours BTS are forced to relocate where they live as fans find out their old address, so a rule is set for their next home, so that their location can keep a secret- ""Don't talk to the neighbours"" Luckily (or unluckily) the next door neighbour is cute, and she cant talk. So... Min Yoongi isn't necessarily breaking the rules. _ Lowkey soulmate au",{'Min Yoongi'},don't talk to the neighbours,"bts are forced to relocate where they live as fans find out their old address, so a rule is set for their next home, so that their location can keep a secret- ""don't talk to the neighbours"" luckily (or unluckily) the next door neighbour is cute, and she cant talk. so... [MEMBER] isn't necessarily breaking the rules. _ lowkey soulmate au","Don't talk to the neighbours BTS are forced to relocate where they live as fans find out their old address, so a rule is set for their next home, so that their location can keep a secret- ""Don't talk to the neighbours"" Luckily (or unluckily) the next door neighbour is cute, and she cant talk. So... Min Yoongi isn't necessarily breaking the rules. _ Lowkey soulmate au","don't talk to the neighbours bts are forced to relocate where they live as fans find out their old address, so a rule is set for their next home, so that their location can keep a secret- ""don't talk to the neighbours"" luckily (or unluckily) the next door neighbour is cute, and she cant talk. so... [MEMBER] isn't necessarily breaking the rules. _ lowkey soulmate au"
https://golemlab.eu/graph/17714183,1678,Owner Training,A stray hybrid has claimed you and you're not quite sure who the owner is here. (AKA The one where Yoongi breaks into your house and says he lives there now),2019-02-09,23157,Explicit,F/M,Completed,Alternate Universe - Hybrid | Cat Hybrid Min Yoongi | Suga | Cat/Human Hybrids | Dog Hybrid Kim Taehyung | V | Fluff | Hybrid Min Yoongi | Suga | Hybrids | Implied though - Freeform | Min Yoongi | Suga Is a Little Shit | Min Yoongi | Suga Needs a Hug | Now with smut! | One Shot Collection | Recreational Drug Use | Sassy Min Yoongi | Suga | Unprotected Sex | Yoongi goes into heat | Yoongi's just on the nip | impreg kink | side vmin - Freeform,Min Yoongi | Suga/Reader Series: How To Train Your Owner [1],False,yoongi,{'yoongi'},Owner Training A stray hybrid has claimed you and you're not quite sure who the owner is here. (AKA The one where Yoongi breaks into your house and says he lives there now),set(),owner training,a stray hybrid has claimed you and you're not quite sure who the owner is here. (aka the one where [MEMBER] breaks into your house and says he lives there now),Owner Training A stray hybrid has claimed you and you're not quite sure who the owner is here. (AKA The one where Yoongi breaks into your house and says he lives there now),owner training a stray hybrid has claimed you and you're not quite sure who the owner is here. (aka the one where [MEMBER] breaks into your house and says he lives there now)
https://golemlab.eu/graph/11689875,1237,First Words,Everyone has a tattoo on their wrist of the first words their soulmate will say to them. But what happens when one person in the relationship is mute? Based on a tumblr prompt.,2017-08-03,33271,General Audiences,F/M,Completed,Alternate Universe - Soulmates | Cute Min Yoongi | Suga | Depressed Min Yoongi | Suga | Feels | Grumpy Min Yoongi | Suga | I Tried | Reader-Insert | Soulmate-Identifying Marks | Soulmates,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You",False,yoongi,{'yoongi'},First Words Everyone has a tattoo on their wrist of the first words their soulmate will say to them. But what happens when one person in the relationship is mute? Based on a tumblr prompt.,set(),first words,everyone has a tattoo on their wrist of the first words their soulmate will say to them. but what happens when one person in the relationship is mute? based on a tumblr prompt.,First Words Everyone has a tattoo on their wrist of the first words their soulmate will say to them. But what happens when one person in the relationship is mute? Based on a tumblr prompt.,first words everyone has a tattoo on their wrist of the first words their soulmate will say to them. but what happens when one person in the relationship is mute? based on a tumblr prompt.
https://golemlab.eu/graph/15575943,886,Protection Squad,A kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. You thought Suga was just like any other cat you happened to meet in therapy. You realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,2018-08-05,42319,Mature,F/M,Completed,Bird Hybrid Jeon Jungkook | Bird Hybrid Park Jimin | Cat Hybrid Min Yoongi | Suga | Dog Hybrid Jung Hoseok | J-Hope | Dog hybrid kim namjoon | Fennec Fox Hybrid Kim Taehyung | Hedgehog Hybrid Kim Seokjin | Hybrid AU | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrid Kim Seokjin | Jin | Hybrid Kim Taehyung | V | Hybrid Min Yoongi | Suga | Hybrid Park Jimin | Hyrbid Kim Namjoon | Jeon Jungkook Bird Shapeshifter | Jeon Jungkook Shapeshifter | Jung Hoseok Dog Shapeshifter | Jung Hoseok Shapeshifter | Kim Namjoon Dog Shapeshifter | Kim Namjoon Shapeshifter | Kim Seokjin Hedgehog Shapeshifter | Kim Seokjin Shapeshifter | Kim Taehyung Fennec Fox Shapeshifter | Kim Taehyung Shapeshifter | Magic AU | Mental Health Themes | Min Yoongi cat shapeshifter | Min Yoongi shapeshifter | Park Jimin Bird Shapeshifter | Park Jimin Shapeshifter | Soulmate AU | Strong depression/anxiety themes | Suicide Attempt | possible triggers | shapeshifter AU | soulmate | warnings in notes,"Min Yoongi | Suga/Reader, Or is it? :)) Series: Protection Squad [1]",False,yoongi,{'yoongi'},Protection Squad A kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. You thought Suga was just like any other cat you happened to meet in therapy. You realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,set(),protection squad,a kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. you thought [MEMBER] was just like any other cat you happened to meet in therapy. you realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,Protection Squad A kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. You thought Suga was just like any other cat you happened to meet in therapy. You realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.,protection squad a kind woman offers you a place of work at the animal shelter she owns and one of the animals seems to take a strong liking to you. you thought [MEMBER] was just like any other cat you happened to meet in therapy. you realise how wrong you were when he reveals his true self to you in order to do everything he can to prevent anything hurting you ever again.
https://golemlab.eu/graph/13182267,870,Bet I Can Satisfy You,"“That one hurt, huh?” you hear Yoongi’s voice say nonchalantly from behind. He sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while Min Yoongi canes your ass. “What number are you on?” he prompts. For a second you fear that you forgot already, but thankfully it comes back. “Seven, sir.” “Good girl.” Schwack! ************************ Multi-chapter explicit Dominant Yoongi x Masochist Reader to fill the prompt: ""Reader is a hard pain slut who has never been satisfied by bdsm scenes with previous partners. Now in a loving relationship with Yoongi, they decide to start trying kinky shit. Yoongi is determined to satisfy his girl's needs by any means necessary.""",2017-12-28,19928,Explicit,F/M,Completed,Aftercare | Anal Fingering | Anal Play | Begging | Blackmail | Blow Jobs | Bondage | Breathplay | Caning | Consensual Kink | Cumming without permission | Deepthroating | Degradation | Dominance | Double Penetration | Duct Tape | Edgeplay | Established Relationship | Face Slapping | Give the 2nd person POV a chance guys | Heavy BDSM | Hurt/Comfort | Masochism | Masochistic!Reader | Multiple Orgasms | Oral Sex | Painplay | Plot What Plot/Porn Without Plot | Punishment | Rough Sex | Sex Toys | Slut Shaming | Spanking | Subspace | Three Holes Filled | Top Min Yoongi | Suga | Verbal Humiliation | Vibrators | Whipping | Yoongi is an A+ Dom | authentic bdsm | dominant yoongi | not using a condom | post sex snuggles | sadistic!minyoongi | safe words,Min Yoongi | Suga/Reader Series: fics about working through hardcore kinks [1],False,yoongi,{'yoongi'},"Bet I Can Satisfy You “That one hurt, huh?” you hear Yoongi’s voice say nonchalantly from behind. He sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while Min Yoongi canes your ass. “What number are you on?” he prompts. For a second you fear that you forgot already, but thankfully it comes back. “Seven, sir.” “Good girl.” Schwack! ************************ Multi-chapter explicit Dominant Yoongi x Masochist Reader to fill the prompt: ""Reader is a hard pain slut who has never been satisfied by bdsm scenes with previous partners. Now in a loving relationship with Yoongi, they decide to start trying kinky shit. Yoongi is determined to satisfy his girl's needs by any means necessary.""","{'Reader', 'Dominant Yoongi', 'Masochist Reader', 'Yoongi', 'Yoongi’s'}",bet i can satisfy you,"“that one hurt, huh?” you hear [MEMBER] voice say nonchalantly from behind. he sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while [MEMBER] canes your ass. “what number are you on?” he prompts. for a second you fear that you forgot already, but thankfully it comes back. “seven, sir.” “good girl.” schwack! ************************ multi-chapter explicit dominant [MEMBER] masochist reader to fill the prompt: ""reader is a hard pain slut who has never been satisfied by bdsm scenes with previous partners. now in a loving relationship with [MEMBER], they decide to start trying kinky shit. [MEMBER] is determined to satisfy his girl's needs by any means necessary.""","Bet I Can Satisfy You “That one hurt, huh?” you hear Yoongi’s voice say nonchalantly from behind. He sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while Min Yoongi canes your ass. “What number are you on?” he prompts. For a second you fear that you forgot already, but thankfully it comes back. “Seven, sir.” “Good girl.” Schwack! ************************ Multi-chapter explicit Dominant Yoongi x Masochist Reader to fill the prompt: ""Reader is a hard pain slut who has never been satisfied by bdsm scenes with previous partners. Now in a loving relationship with Yoongi, they decide to start trying kinky shit. Yoongi is determined to satisfy his girl's needs by any means necessary.""","bet i can satisfy you “that one hurt, huh?” you hear [MEMBER] voice say nonchalantly from behind. he sounds terribly far above you and for the first time you realize with shameful clarity how pathetic you must look right now--willingly face down on the floor, stripped to your girlish undergarments while [MEMBER] canes your ass. “what number are you on?” he prompts. for a second you fear that you forgot already, but thankfully it comes back. “seven, sir.” “good girl.” schwack! ************************ multi-chapter explicit dominant [MEMBER] masochist reader to fill the prompt: ""reader is a hard pain slut who has never been satisfied by bdsm scenes with previous partners. now in a loving relationship with [MEMBER], they decide to start trying kinky shit. [MEMBER] is determined to satisfy his girl's needs by any means necessary."""
https://golemlab.eu/graph/7100920,809,Intoxicating,"REQUEST: “Could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?”",2016-06-05,6547,Teen And Up Audiences,F/M,Completed,Clubbing | Drunk Texting | Implied Sexual Content | Request Meme | Roommates | Sexual Tension,Min Yoongi | Suga/Reader,False,yoongi,{'yoongi'},"Intoxicating REQUEST: “Could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?”",set(),intoxicating,"request: “could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?”","Intoxicating REQUEST: “Could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?”","intoxicating request: “could you maybe do one where you do something stupid, like put yourself at risk or something, and he scolds you, and you fight, and it can either end in cuteness or smut, or both?”"
https://golemlab.eu/graph/31682261,803,mono/stereo,You've got big plans for your career in the music industry - and the confidence to follow-through on them. You leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. It's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,2021-06-02,163787,Explicit,F/M,In-Progress,Angst | Come Swallowing | Dirty Talk | Enemies to Lovers | Eventual Romance | Eventual Smut | Explicit Language | Explicit Sexual Content | Foreplay | Hand Jobs | OT7 | Oral Sex | Producer Reader | Sex | Slow Burn | Smut | Vaginal Fingering | Vaginal Sex,Min Yoongi | Suga/Reader,False,yoongi,{'yoongi'},mono/stereo You've got big plans for your career in the music industry - and the confidence to follow-through on them. You leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. It's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,set(),mono/stereo,you've got big plans for your career in the music industry - and the confidence to follow-through on them. you leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. it's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,mono/stereo You've got big plans for your career in the music industry - and the confidence to follow-through on them. You leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. It's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.,mono/stereo you've got big plans for your career in the music industry - and the confidence to follow-through on them. you leap at the chance to flex your abilities and pursue your ideals as a producer with a major label. it's kind of a dream come true - *except* for the co-worker/producer/idol you keep butting heads with.
https://golemlab.eu/graph/8565991,793,Safety Pin,"With a reputation like Yoongi's, it is hard to build any kind of relationship with any kind of person. Until one person changes the way the world perceives him.",2016-11-15,37965,Mature,F/M,Completed,Alternate Universe | Angst | Bad Boy Yoongi | Blood | Eventual Smut | Fluff | Fluff and Angst | Gang Violence | Gangs | Hurt/Comfort | Slow Burn | Smut | Violence,Min Yoongi | Suga/Reader,False,yoongi,{'yoongi'},"Safety Pin With a reputation like Yoongi's, it is hard to build any kind of relationship with any kind of person. Until one person changes the way the world perceives him.",{'Yoongi'},safety pin,"with a reputation like [MEMBER]'s, it is hard to build any kind of relationship with any kind of person. until one person changes the way the world perceives him.","Safety Pin With a reputation like Yoongi's, it is hard to build any kind of relationship with any kind of person. Until one person changes the way the world perceives him.","safety pin with a reputation like [MEMBER]'s, it is hard to build any kind of relationship with any kind of person. until one person changes the way the world perceives him."
https://golemlab.eu/graph/11919060,692,Written in the stars // Min Yoongi x Reader,"You meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.",2017-08-27,4555,General Audiences,F/M,Completed,Alternate Universe - Soulmates | Comedy | Fluff | Romance | Romantic Comedy | Romantic Soulmates | Soulmate-Identifying Marks | Soulmates,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You",False,yoongi,{'yoongi'},"Written in the stars // Min Yoongi x Reader You meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.",{'Yoongi x Reader'},written in the stars // [MEMBER] x reader,"you meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.","Written in the stars // Min Yoongi x Reader You meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life.","written in the stars // [MEMBER] x reader you meet your soulmate on a gloomy day, and contrary to his resting bitch face he turns out to be the bubbling light of your life."
https://golemlab.eu/graph/13647444,670,wine.,He makes staying after-hours absolutely worthwhile. Yoongi x Reader,2018-02-11,26011,Explicit,F/M,Completed,Alternate Universe - Restaurant | Bartender Min Yoongi | Suga | Dirty Talk | Sexting | Sexual Tension | Smut | dom!yoongi is a mood | i might have a bartender!yoongi kink tbh | i'm not even sorry | this is self-indulgent filth,Min Yoongi | Suga/Reader,False,yoongi,{'yoongi'},wine. He makes staying after-hours absolutely worthwhile. Yoongi x Reader,{'Yoongi x Reader'},wine.,he makes staying after-hours absolutely worthwhile. [MEMBER] reader,wine. He makes staying after-hours absolutely worthwhile. Yoongi x Reader,wine. he makes staying after-hours absolutely worthwhile. [MEMBER] reader
